time,BH,lstm_equity
2022-11-01 06:00:00+00:00,1.0000000000,1.0000000000
2022-11-01 06:30:00+00:00,1.0001308927,1.0000000000
2022-11-01 07:00:00+00:00,0.9985601805,1.0000000000
2022-11-01 07:30:00+00:00,0.9998590387,1.0000000000
2022-11-01 08:00:00+00:00,1.0005235707,1.0000000000
2022-11-01 08:30:00+00:00,0.9990837512,1.0000000000
2022-11-01 09:00:00+00:00,0.9989931331,1.0000000000
2022-11-01 09:30:00+00:00,1.0002215107,1.0000000000
2022-11-01 10:00:00+00:00,1.0005235707,1.0000000000
2022-11-01 10:30:00+00:00,1.0004832960,0.9999585828
2022-11-01 11:00:00+00:00,1.0004832960,0.9998832059
2022-11-01 11:30:00+00:00,1.0002718540,1.0002002625
2022-11-01 12:00:00+00:00,1.0010874161,0.9989782524
2022-11-01 12:30:00+00:00,1.0009263174,0.9992194398
2022-11-01 13:00:00+00:00,1.0007048067,0.9995512310
2022-11-01 13:30:00+00:00,1.0004832960,0.9998832059
2022-11-01 14:00:00+00:00,0.9967377514,1.0026316928
2022-11-01 14:30:00+00:00,0.9936970137,1.0025595105
2022-11-01 15:00:00+00:00,0.9948045671,1.0025595105
2022-11-01 15:30:00+00:00,0.9938178377,1.0025595105
2022-11-01 16:00:00+00:00,0.9933446103,1.0025595105
2022-11-01 16:30:00+00:00,0.9929116575,1.0025595105
2022-11-01 17:00:00+00:00,0.9937372884,1.0025595105
2022-11-01 17:30:00+00:00,0.9949757345,1.0025595105
2022-11-02 06:00:00+00:00,0.9941707217,1.0025595105
2022-11-02 06:30:00+00:00,0.9944726015,1.0025595105
2022-11-02 07:00:00+00:00,0.9937179020,1.0025595105
2022-11-02 07:30:00+00:00,0.9946134787,1.0025595105
2022-11-02 08:00:00+00:00,0.9963040057,1.0025595105
2022-11-02 08:30:00+00:00,0.9962235044,1.0025595105
2022-11-02 09:00:00+00:00,0.9953581156,1.0025595105
2022-11-02 09:30:00+00:00,0.9967266373,1.0025595105
2022-11-02 10:00:00+00:00,0.9960625018,1.0025595105
2022-11-02 10:30:00+00:00,0.9963643816,1.0025595105
2022-11-02 11:00:00+00:00,0.9949958598,1.0025595105
2022-11-02 11:30:00+00:00,0.9959820005,1.0025595105
2022-11-02 12:00:00+00:00,0.9958008727,1.0025595105
2022-11-02 12:30:00+00:00,0.9968272640,1.0025595105
2022-11-02 13:00:00+00:00,0.9966662614,1.0025595105
2022-11-02 13:30:00+00:00,0.9956197448,1.0025595105
2022-11-02 14:00:00+00:00,0.9949153586,1.0025595105
2022-11-02 14:30:00+00:00,0.9935468367,1.0025595105
2022-11-02 15:00:00+00:00,0.9938487165,1.0025595105
2022-11-02 15:30:00+00:00,0.9936273380,1.0025595105
2022-11-02 16:00:00+00:00,0.9926915106,1.0025595105
2022-11-02 16:30:00+00:00,0.9929430771,1.0025595105
2022-11-02 17:00:00+00:00,0.9928927638,1.0025595105
2022-11-02 17:30:00+00:00,0.9942713482,1.0025595105
2022-11-03 06:00:00+00:00,0.9931987685,1.0025595105
2022-11-03 06:30:00+00:00,0.9928041400,1.0025595105
2022-11-03 07:00:00+00:00,0.9896471128,1.0025595105
2022-11-03 07:30:00+00:00,0.9900113852,1.0025595105
2022-11-03 08:00:00+00:00,0.9884227529,1.0025595105
2022-11-03 08:30:00+00:00,0.9883519222,1.0025595105
2022-11-03 09:00:00+00:00,0.9871781556,1.0025595105
2022-11-03 09:30:00+00:00,0.9869150700,1.0025595105
2022-11-03 10:00:00+00:00,0.9855288112,1.0025595105
2022-11-03 10:30:00+00:00,0.9861055758,1.0025595105
2022-11-03 11:00:00+00:00,0.9855895233,1.0025595105
2022-11-03 11:30:00+00:00,0.9855288112,1.0025595105
2022-11-03 12:00:00+00:00,0.9870972062,1.0025595105
2022-11-03 12:30:00+00:00,0.9856603541,1.0025595105
