time,mid_open,mid_high,mid_low,mid_close,bid_open,bid_close,ask_open,ask_close,spread,volume
2016-04-17 21:00:00+00:00,1.42004,1.42010,1.41702,1.41748,1.41954,1.41734,1.42054,1.41762,0.000280000000000058,4895
2016-04-18 01:00:00+00:00,1.41755,1.41796,1.41626,1.41712,1.41740,1.41700,1.41770,1.41723,0.00022999999999995246,1454
2016-04-18 05:00:00+00:00,1.41706,1.42008,1.41314,1.41856,1.41694,1.41846,1.41718,1.41866,0.00019999999999997797,4013
2016-04-18 09:00:00+00:00,1.41861,1.42041,1.41653,1.41934,1.41852,1.41924,1.41870,1.41944,0.00019999999999997797,3751
2016-04-18 13:00:00+00:00,1.41933,1.42912,1.41830,1.42769,1.41924,1.42759,1.41942,1.42779,0.00019999999999997797,6970
2016-04-18 17:00:00+00:00,1.42774,1.42907,1.42684,1.42776,1.42764,1.42764,1.42785,1.42789,0.0002500000000000835,1475
2016-04-18 21:00:00+00:00,1.42792,1.42928,1.42710,1.42908,1.42755,1.42896,1.42829,1.42921,0.0002500000000000835,2090
2016-04-19 01:00:00+00:00,1.42909,1.43152,1.42909,1.43082,1.42897,1.43070,1.42921,1.43095,0.00024999999999986144,1260
2016-04-19 05:00:00+00:00,1.43088,1.43392,1.42840,1.43210,1.43077,1.43194,1.43100,1.43225,0.00031000000000003247,4339
2016-04-19 09:00:00+00:00,1.43204,1.43904,1.43100,1.43804,1.43191,1.43796,1.43216,1.43813,0.00017000000000000348,6002
2016-04-19 13:00:00+00:00,1.43800,1.44190,1.43778,1.43855,1.43793,1.43845,1.43807,1.43865,0.00019999999999997797,6844
2016-04-19 17:00:00+00:00,1.43860,1.44063,1.43860,1.43974,1.43852,1.43944,1.43867,1.44004,0.0005999999999999339,1745
2016-04-19 21:00:00+00:00,1.43936,1.44007,1.43807,1.43854,1.43886,1.43843,1.43986,1.43866,0.00022999999999995246,3519
2016-04-20 01:00:00+00:00,1.43856,1.43914,1.43622,1.43648,1.43846,1.43638,1.43866,1.43659,0.00021000000000004349,1076
