time,mid_open,mid_high,mid_low,mid_close,bid_open,bid_close,ask_open,ask_close,spread,volume
2016-04-17 21:00:00+00:00,108.186,108.462,107.906,108.022,108.136,108.013,108.236,108.031,0.018000000000000682,9867
2016-04-18 01:00:00+00:00,108.019,108.197,107.838,108.034,108.010,108.027,108.028,108.042,0.015000000000000568,5359
2016-04-18 05:00:00+00:00,108.038,108.456,107.888,108.426,108.030,108.419,108.046,108.434,0.015000000000000568,6668
2016-04-18 09:00:00+00:00,108.425,108.798,108.125,108.649,108.417,108.641,108.433,108.657,0.015999999999991132,5855
2016-04-18 13:00:00+00:00,108.646,108.988,108.520,108.849,108.638,108.841,108.653,108.857,0.016000000000005343,6240
2016-04-18 17:00:00+00:00,108.845,108.893,108.739,108.825,108.838,108.809,108.852,108.841,0.031999999999996476,1759
2016-04-18 21:00:00+00:00,108.822,109.222,108.751,109.116,108.790,109.108,108.854,109.124,0.015999999999991132,4123
2016-04-19 01:00:00+00:00,109.112,109.190,108.982,109.074,109.104,109.066,109.121,109.081,0.015000000000000568,3153
2016-04-19 05:00:00+00:00,109.070,109.299,108.792,109.284,109.063,109.277,109.078,109.292,0.015000000000000568,5906
2016-04-19 09:00:00+00:00,109.288,109.489,109.198,109.263,109.281,109.256,109.295,109.270,0.013999999999995794,5469
2016-04-19 13:00:00+00:00,109.260,109.452,109.048,109.126,109.252,109.119,109.268,109.134,0.015000000000000568,6831
2016-04-19 17:00:00+00:00,109.126,109.240,108.999,109.220,109.118,109.209,109.135,109.230,0.021000000000000796,1965
2016-04-19 21:00:00+00:00,109.194,109.328,109.044,109.130,109.151,109.122,109.238,109.138,0.016000000000005343,3595
2016-04-20 01:00:00+00:00,109.126,109.148,108.880,108.995,109.120,108.987,109.133,109.003,0.016000000000005343,4291
2016-04-20 05:00:00+00:00,108.993,109.070,108.764,108.953,108.985,108.946,109.001,108.960,0.013999999999995794,5666
2016-04-20 09:00:00+00:00,108.954,109.361,108.921,109.338,108.946,109.332,108.961,109.345,0.01300000000000523,3478
2016-04-20 13:00:00+00:00,109.342,109.696,109.193,109.675,109.334,109.667,109.351,109.683,0.016000000000005343,6221
2016-04-20 17:00:00+00:00,109.676,109.880,109.639,109.846,109.667,109.835,109.685,109.856,0.021000000000000796,3613
2016-04-20 21:00:00+00:00,109.837,109.897,109.717,109.760,109.815,109.751,109.859,109.768,0.016999999999995907,3438
2016-04-21 01:00:00+00:00,109.756,109.844,109.569,109.712,109.748,109.704,109.764,109.719,0.015000000000000568,3978
2016-04-21 05:00:00+00:00,109.712,109.784,109.513,109.782,109.705,109.775,109.719,109.789,0.013999999999995794,5173
2016-04-21 09:00:00+00:00,109.786,109.816,109.563,109.644,109.779,109.636,109.793,109.653,0.017000000000010118,7568
2016-04-21 13:00:00+00:00,109.644,109.765,109.325,109.508,109.637,109.500,109.652,109.516,0.016000000000005343,10299
2016-04-21 17:00:00+00:00,109.505,109.572,109.395,109.463,109.497,109.452,109.513,109.474,0.02200000000000557,2673
2016-04-21 21:00:00+00:00,109.457,109.492,109.276,109.360,109.438,109.352,109.476,109.367,0.015000000000000568,4208
2016-04-22 01:00:00+00:00,109.356,110.192,109.260,110.038,109.349,110.030,109.363,110.047,0.016999999999995907,6989
2016-04-22 05:00:00+00:00,110.034,110.753,109.848,110.338,110.022,110.330,110.045,110.346,0.016000000000005343,12501
