time,mid_open,mid_high,mid_low,mid_close,bid_open,bid_close,ask_open,ask_close,spread,volume
2016-04-17 21:00:00+00:00,1.29560,1.29856,1.29303,1.29698,1.29546,1.29686,1.29573,1.29710,0.00024000000000001798,13659
2016-04-18 01:00:00+00:00,1.29698,1.29698,1.29444,1.29476,1.29687,1.29462,1.29708,1.29490,0.00027999999999983594,8092
2016-04-18 05:00:00+00:00,1.29477,1.29897,1.28914,1.29037,1.29464,1.29026,1.29490,1.29048,0.000220000000000109,16710
2016-04-18 09:00:00+00:00,1.29038,1.29326,1.28626,1.28929,1.29027,1.28918,1.29048,1.28940,0.000220000000000109,18737
2016-04-18 13:00:00+00:00,1.28928,1.29082,1.28015,1.28040,1.28915,1.28030,1.28942,1.28049,0.00018999999999991246,20751
2016-04-18 17:00:00+00:00,1.28040,1.28233,1.27787,1.27842,1.28031,1.27827,1.28049,1.27857,0.00029999999999996696,9316
2016-04-18 21:00:00+00:00,1.27861,1.27990,1.27614,1.27734,1.27811,1.27723,1.27911,1.27746,0.00022999999999995246,7185
2016-04-19 01:00:00+00:00,1.27734,1.27805,1.27603,1.27716,1.27722,1.27703,1.27746,1.27729,0.00025999999999992696,5155
2016-04-19 05:00:00+00:00,1.27717,1.27799,1.27406,1.27713,1.27703,1.27701,1.27731,1.27725,0.00024000000000001798,13481
2016-04-19 09:00:00+00:00,1.27714,1.27744,1.27016,1.27160,1.27702,1.27148,1.27725,1.27172,0.00024000000000001798,15584
2016-04-19 13:00:00+00:00,1.27160,1.27268,1.26308,1.26706,1.27150,1.26697,1.27170,1.26715,0.000180000000000069,23556
2016-04-19 17:00:00+00:00,1.26710,1.26758,1.26368,1.26704,1.26700,1.26692,1.26720,1.26717,0.00024999999999986144,8663
2016-04-19 21:00:00+00:00,1.26696,1.27003,1.26590,1.26983,1.26677,1.26972,1.26716,1.26994,0.000220000000000109,6262
2016-04-20 01:00:00+00:00,1.26978,1.27210,1.26899,1.27163,1.26967,1.27151,1.26990,1.27175,0.00024000000000001798,4014
2016-04-20 05:00:00+00:00,1.27168,1.27302,1.26775,1.26848,1.27155,1.26837,1.27180,1.26858,0.00021000000000004349,11791
2016-04-20 09:00:00+00:00,1.26844,1.26919,1.26460,1.26888,1.26833,1.26877,1.26854,1.26898,0.00021000000000004349,12403
2016-04-20 13:00:00+00:00,1.26888,1.27033,1.25936,1.26260,1.26879,1.26251,1.26896,1.26268,0.00017000000000000348,26141
2016-04-20 17:00:00+00:00,1.26256,1.26593,1.26093,1.26548,1.26246,1.26531,1.26265,1.26566,0.0003500000000000725,11197
2016-04-20 21:00:00+00:00,1.26548,1.26608,1.26426,1.26606,1.26527,1.26596,1.26568,1.26616,0.00019999999999997797,4466
2016-04-21 01:00:00+00:00,1.26606,1.26626,1.26321,1.26422,1.26595,1.26410,1.26616,1.26435,0.0002500000000000835,6427
2016-04-21 05:00:00+00:00,1.26418,1.26688,1.26278,1.26654,1.26407,1.26644,1.26430,1.26664,0.00019999999999997797,11157
2016-04-21 09:00:00+00:00,1.26654,1.26792,1.26288,1.26514,1.26643,1.26501,1.26665,1.26528,0.00026999999999999247,15519
2016-04-21 13:00:00+00:00,1.26512,1.27234,1.26444,1.27204,1.26500,1.27194,1.26525,1.27214,0.00019999999999997797,25894
2016-04-21 17:00:00+00:00,1.27208,1.27502,1.27180,1.27349,1.27199,1.27336,1.27218,1.27362,0.00025999999999992696,7718
2016-04-21 21:00:00+00:00,1.27339,1.27354,1.27018,1.27050,1.27310,1.27039,1.27368,1.27060,0.00021000000000004349,5765
2016-04-22 01:00:00+00:00,1.27050,1.27206,1.26862,1.27144,1.27039,1.27133,1.27061,1.27156,0.00022999999999995246,5179
2016-04-22 05:00:00+00:00,1.27138,1.27515,1.26909,1.27513,1.27124,1.27503,1.27153,1.27523,0.00019999999999997797,12941
2016-04-22 09:00:00+00:00,1.27518,1.27583,1.26553,1.26634,1.27507,1.26621,1.27528,1.26648,0.00026999999999999247,17350
2016-04-22 13:00:00+00:00,1.26634,1.27188,1.26223,1.27156,1.26620,1.27146,1.26649,1.27165,0.00018999999999991246,25534
2016-04-22 17:00:00+00:00,1.27150,1.27152,1.26556,1.26665,1.27140,1.26615,1.27161,1.26715,0.0009999999999998899,10098
2016-04-24 21:00:00+00:00,1.26609,1.26912,1.26522,1.26868,1.26559,1.26858,1.26659,1.26879,0.00021000000000004349,6282
2016-04-25 01:00:00+00:00,1.26872,1.26944,1.26763,1.26892,1.26861,1.26881,1.26884,1.26904,0.00022999999999995246,5551
2016-04-25 05:00:00+00:00,1.26893,1.27059,1.26642,1.26932,1.26882,1.26920,1.26904,1.26944,0.00023999999999979593,10670
2016-04-25 09:00:00+00:00,1.26933,1.27177,1.26570,1.26820,1.26922,1.26809,1.26944,1.26831,0.000220000000000109,11733
2016-04-25 13:00:00+00:00,1.26818,1.26996,1.26576,1.26822,1.26806,1.26813,1.26829,1.26832,0.00018999999999991246,17619
2016-04-25 17:00:00+00:00,1.26822,1.26928,1.26692,1.26778,1.26813,1.26767,1.26830,1.26790,0.00022999999999995246,7724
2016-04-25 21:00:00+00:00,1.26732,1.26886,1.26678,1.26778,1.26682,1.26767,1.26782,1.26788,0.00020999999999982144,6925
2016-04-26 01:00:00+00:00,1.26774,1.26777,1.26612,1.26736,1.26764,1.26721,1.26783,1.26751,0.00029999999999996696,4613
2016-04-26 05:00:00+00:00,1.26736,1.26865,1.26342,1.26390,1.26724,1.26380,1.26748,1.26401,0.00021000000000004349,10865
